species;original.name;section;mean;weighted_squaredSEM;Ncyt;Culm.length.mp;Culm.length.1.4;Leaf.width.mp;Leaf.width.1.4;Utricle.length.mp;Utricle.length.1.4;LI.length.mp;LI.length.1.4;TI.length.mp;TI.length.1.4;Samples_bioclim;bio1_Mean;bio2_Mean;bio3_Mean;bio4_Mean;bio5_Mean;bio6_Mean;bio7_Mean;bio8_Mean;bio9_Mean;bio10_Mean;bio11_Mean;bio12_Mean;bio13_Mean;bio14_Mean;bio15_Mean;bio16_Mean;bio17_Mean;bio18_Mean;bio19_Mean;squaredSEM_bioclim1;squaredSEM_bioclim2;squaredSEM_bioclim3;squaredSEM_bioclim4;squaredSEM_bioclim5;squaredSEM_bioclim6;squaredSEM_bioclim7;squaredSEM_bioclim8;squaredSEM_bioclim9;squaredSEM_bioclim10;squaredSEM_bioclim11;squaredSEM_bioclim12;squaredSEM_bioclim13;squaredSEM_bioclim14;squaredSEM_bioclim15;squaredSEM_bioclim16;squaredSEM_bioclim17;squaredSEM_bioclim18;squaredSEM_bioclim19
Carex albicans var. emmonsii;Carex_albicans_var_emmonsii|DEL|spm00000699;Acrocystis;40;22.38064686;1;27.5;8.75;1.65;0.425;2.8;0.25;4.5;1.25;6.75;0.875;167;106.6407186;108.508982;30.2754491;8665.502994;285.3952096;-67.15568862;352.5508982;151.9820359;52.76646707;215.7305389;-7.51497006;1092.035928;113.7245509;70.52694611;14.65868263;316.7964072;230.3113772;292.2634731;250.239521;816.0990549;201.2634731;14.53812856;515974.8178;566.4934709;1235.40935;650.4416709;7496.463531;6956.722242;556.1618931;1286.528389;16265.15533;183.5863213;261.2869201;54.45508982;1244.416132;2165.336195;1015.207272;3771.894091
Carex communis var. communis;Carex_communis_var_communis|QUE|NCBI_Waterway_3720;Acrocystis;28;22.38064686;1;40;10;3.4;0.8;3.2;0.25;7.5;1.25;9.3;3.1;259;71.02702703;111.7142857;28.36679537;9669.722008;264.6061776;-125.3320463;389.9382239;149.8918919;-28.13899614;190.5714286;-59.1003861;1006.150579;107.3050193;58.54440154;19.70656371;305;193.7722008;287.7451737;208;1040.87136;149.7707641;16.08586992;1265319.504;677.2396516;2470.687768;1389.755859;4238.60067;5132.934094;615.1218162;2076.455;37994.53925;279.4608662;461.3420131;139.215887;2093.937984;4182.409147;1521.012331;5469.465116
Carex deflexa var. deflexa;Carex_deflexa_var_deflexa|BRC|spm00002125;Acrocystis;25.75;2.797580858;8;18;6.5;1.75;0.425;2.7;0.2;8;1;7.2;2.05;167;13.76047904;109.1017964;24.38922156;11309.21557;227.3173653;-213.8023952;441.1197605;123.6287425;-92.91017964;152.0658683;-138.8143713;790.2035928;99.2754491;36.34730539;35.54491018;280.0419162;124.1317365;264.8143713;139.6107784;1236.96638;231.1642739;7.82952168;3263035.013;722.4589135;3567.978789;3439.853041;3959.837241;6889.142486;545.0980449;2967.140033;68150.86191;466.5983695;592.6738331;223.8880312;4232.172931;5463.31989;2695.188226;8485.865666
Carex fritschii;Carex_fritschii|HUN|spm00002174;Acrocystis;30;5.595161715;4;52.5;6.25;3;0.5;3.75;0.375;8.5;1.75;20;2.5;15;94.06666667;92.73333333;31.86666667;6972.4;249.6;-37;286.6;181.8666667;17;181.8666667;2.666666667;706.8666667;86.86666667;35.73333333;30.86666667;250.2;116;250.2;118.7333333;95.97666493;20.04798047;2.115187622;295551.6841;70.62170207;292.3580258;316.8458004;210.1257009;454.6202237;51.8208652;239.1188234;9402.860199;161.7032621;35.19245722;13.127247;1221.128105;369.8074294;597.4804724;1054.211408
Carex glacialis;Carex_glacialis|NFL|spm00001488;Acrocystis;34;2.238064686;10;9;3;0.75;0.125;2.25;0.125;6;1;6;1;895;-28.30167598;75.57541899;24.17318436;8836.013408;143.3653631;-183.8223464;327.1877095;53.48938547;-78.30055866;87.19441341;-136.7765363;697.1541899;88.56759777;34.82793296;33.78100559;237.9810056;115.2134078;199.1206704;163.6067039;2398.163923;323.2938023;30.29771412;14056716.22;1069.035264;10811.12612;14396.79694;2531.80274;11902.48339;566.5952708;8687.028308;165685.2469;2000.478367;522.8227088;224.9631735;14721.72783;5758.810111;5626.475355;15696.05991
Carex inops subsp. heliophila;Carex_inops_ssp_heliophila||NCBI_Marriott_2795;Acrocystis;37;5.595161715;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;289;70.55017301;136.1868512;32.13148789;9913.737024;281.9930796;-140.7612457;422.7543253;175.3529412;-39.39446367;194.4775087;-61.11072664;614.1141869;92.74740484;19.09688581;49.16955017;249.6574394;66.48442907;234.3806228;72.47750865;1330.040009;422.6038543;40.18403979;2865689.563;1288.631896;2382.758771;1762.554018;2136.180556;3241.732747;1506.201749;2249.605753;38981.77511;531.3977797;96.18502499;155.6899029;4178.59405;1060.327014;4131.243512;2027.840638
Carex lucorum;Carex_lucorum|NCA|spm00001736;Acrocystis;40;22.38064686;1;31;12;2.15;0.725;3.65;0.475;12.5;1.25;15.25;3.625;55;61.70909091;108.9636364;27.50909091;9744.145455;257.9818182;-132.3272727;390.3090909;114.4363636;-19.98181818;181.8727273;-68.78181818;931.8;101.2909091;54.23636364;18.43636364;282.4727273;180.2727273;249.7090909;207.5090909;403.173064;119.7393939;7.661952862;973007.1266;415.3885522;1249.520539;1304.550842;5881.361616;7419.277441;280.8538721;972.9144781;32320.9037;356.247138;323.8505051;36.50976431;2844.809428;2470.868687;670.6175084;6367.624916
Carex microrhyncha;Carex_microrhyncha|KAN|spm00004537;Acrocystis;32;11.19032343;2;NA;NA;2;0.25;2.75;0.25;5.5;0.75;7.5;1.25;7;155.5714286;122.4285714;38.42857143;7436.857143;319.8571429;-16.57142857;336.4285714;215.8571429;61.85714286;247.5714286;55.57142857;918.5714286;125.4285714;40.42857143;38.28571429;318.7142857;136.8571429;263.1428571;141.7142857;205.664282;42.95995815;4.532544904;633325.0373;151.3322187;626.4814839;678.9552867;450.2693591;974.1861937;111.0447111;512.3974787;20148.98614;346.5069901;75.41240834;28.12981501;2616.703083;792.4444915;1280.315298;2259.024446
Carex montana;Carex_montana|YUG|spm00000543;Acrocystis;38;1.598617633;14;25;7.5;1.75;0.125;3.75;0.375;6.5;0.75;15;2.5;777;74.17889318;82.52252252;30.02960103;6853.384813;222.2175032;-52.60875161;274.8262548;117.2921493;35.51222651;162.0592021;-13.14028314;811.7310167;92.67953668;46.11583012;22.56499356;258.6911197;152.7310167;224.4401544;189.1377091;582.6006879;212.9276493;26.37154533;2719485.987;703.3276314;2024.140542;2845.084464;3312.258611;4967.634193;431.9655628;1612.739316;72508.00101;914.7154699;352.7803805;90.13011318;7312.667357;3858.227812;3153.860138;8062.407558
Carex nigromarginata;Carex_nigromarginata|ALA|spm00001121;Acrocystis;34;22.38064686;1;17.5;4.75;2.7;0.65;3.2;0.2;5.5;0.75;7.65;1.175;181;133.2099448;125.480663;35.42541436;8131.928177;307.6022099;-44.19889503;351.801105;167.5856354;91.00552486;234.9226519;24.6519337;1192.20442;127.2486188;73.82320442;15.74585635;351.6961326;244.7900552;310.6685083;283.0497238;814.722345;143.4065684;24.85690608;1067556.389;356.3186618;1680.437999;952.2824432;4286.077348;8502.394414;391.9495396;1694.128177;27241.77465;526.1989564;161.2796808;57.72394107;3221.090485;1436.322345;1373.289503;5796.058625
Carex novae angliae;Carex_novaeangliae|MAI|spm00001061;Acrocystis;31;22.38064686;1;22.5;8.75;1.1;0.2;2.4;0.1;4.5;0.75;9.5;2.75;172;54.54651163;102.6337209;26.95348837;9381.093023;242.3255814;-132.9593023;375.2848837;81.5872093;15.41860465;171.2209302;-70.26162791;1142.680233;121.6453488;72.23837209;16.14534884;346.6918605;230.7616279;288.5872093;279.6395349;364.6118591;203.2276282;6.337005304;1561374.623;634.4547804;1347.150381;2221.02363;7660.009894;8374.806202;413.4830681;919.4223786;36757.75095;781.3530192;249.24694;38.83839929;6627.594553;2016.580273;1302.863695;7710.547668
Carex peckii;Carex_peckii|ASK|spm00001625;Acrocystis;36;22.38064686;1;34;6.5;2.15;0.575;3.7;0.25;NA;NA;6.95;0.825;426;39.842723;114.3849765;25.90610329;11043.49531;252.9319249;-182.7816901;435.713615;156.3450704;-85.3286385;174.5892019;-109.8004695;727.6643192;93.01643192;32.48122066;36.65492958;260.5352113;110.8122066;253.6690141;121.6079812;639.0081469;169.3667385;8.941750898;1925613.851;398.5059431;2329.032229;2047.583673;2267.61947;2842.192919;388.5296714;1668.753035;36862.83999;196.3314941;385.4031759;334.6547639;1814.696404;3533.767004;1879.803132;5117.297724
Carex pensylvanica;Carex_pensylvanica|MAN|spm00001171;Acrocystis;36;7.46021562;3;27.5;8.75;2.05;0.775;2.8;0.3;12.5;1.25;16;4;604;70.85099338;115.9701987;28.5;10068.60927;271.8708609;-133.3509934;405.2218543;161.6059603;-39.07284768;194.9503311;-64.8807947;869.0099338;102.5711921;43.24006623;30.13907285;287.9172185;146.7384106;268.9900662;160.5976821;1048.999319;210.0720789;19.66998342;2656972.345;560.7196139;3462.41723;2952.13312;3729.433198;7231.96815;647.466849;2593.571173;78699.2669;819.5720377;703.5757718;329.7617212;6602.872075;6764.919849;2790.998243;11771.9523
Carex pilulifera;Carex_pilulifera|POR|spm00000583;Acrocystis;17.85714286;1.598617633;14;17.5;6.25;2.25;0.375;2.5;0.5;6.5;0.75;10;2.5;1258;72.97058824;70.75516693;30.17170111;5879.870429;201.3521463;-34.45468998;235.8068362;92.1136725;58.14467409;149.9014308;0.013513514;945.5810811;111.3759936;49.19316375;24.71939587;309.7488076;163.118442;225.391097;246.7686804;1109.188474;224.7944244;32.78990657;2355187.01;1244.481304;2409.525789;2776.006413;2576.005366;4404.356141;807.399982;2116.146993;145020.9596;2402.368461;381.1519978;65.65310003;17901.01243;4295.550797;4708.636102;17027.96793
Carex riloensis;Carex_riloensis|BUL|spm00003599;Acrocystis;26;11.19032343;2;23.5;1.75;1.75;0.075;2.43;0.035;6.15;0.075;17.5;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Carex rossii;Carex_rossii|CAL|spm00001201;Acrocystis;36;22.38064686;1;18.5;5.75;1.65;0.425;3.8;0.35;NA;NA;9.4;1.7;537;26.77467412;128.9106145;34.82309125;8578.014898;227.7523277;-149.1620112;376.9143389;55.42271881;22.43575419;135.9962756;-82.25698324;695.8324022;103.3947858;23.25512104;41.81191806;285.7039106;85.56052142;145.0111732;222.7932961;1627.947268;553.988264;58.00036132;7528124.496;1219.085932;6596.64348;6400.712798;7169.445975;11122.97394;919.8843145;5260.773389;241010.1062;6862.049077;155.7724784;342.5373204;57445.36179;1882.877394;3184.738681;59384.33593
Carex supina var. spaniocarpa;Carex_supina_var_spaniocarpa|ASK|spm00001794;Acrocystis;43.66666667;3.73010781;6;17.5;6.25;1.25;0.125;2.9;0.2;10;2.5;10;2.5;114;-81.03508772;91.02631579;19.42982456;13221.27193;158.0701754;-303.0877193;461.1578947;78.16666667;-185.5263158;88.44736842;-244.4210526;309.8859649;50.18421053;11.20175439;50.54385965;133.7280702;38.98245614;124.377193;48.19298246;1806.246546;377.0523987;14.9375097;6483007.686;1904.614501;4158.027635;6427.33768;1784.246313;9936.5347;1170.868887;3853.750349;12558.34971;232.470191;40.48105884;178.7989443;1585.350179;439.6988045;1565.086555;979.626145
Carex supina var. supina;Carex_supina_var_supina|TCS|spm00006391;Acrocystis;38;11.19032343;2;12.5;3.75;1;0.25;2.75;0.125;6.5;0.75;10.5;1.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Carex tonsa;Carex_tonsa||spm00001317;Acrocystis;32;22.38064686;1;10;3;2.4;0.95;3.9;0.4;7;1.5;7.9;1.7;421;65.7719715;111.695962;28.11638955;9865.714964;261.847981;-134.0118765;395.8598575;141.4513064;-18.34916865;187.631829;-66.6888361;948.6888361;105.3729216;54.85035629;22.87648456;295.3491686;181.7743468;274.52019;200.0807601;1790.533593;160.4787694;17.84118312;2855703.39;753.0006447;5300.159382;3208.835075;5336.214885;9417.09922;830.8617464;4183.471994;61421.64342;395.7582174;665.151363;219.3180409;3151.642077;6017.256102;1939.431139;8597.617272
Carex tricolor;Carex_tricolor|BUL|spm00003600;Acrocystis;61.66666667;7.46021562;3;17.5;6.25;2.25;0.375;2.75;0.625;6.5;0.75;10;2.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Carex umbellata;Carex_umbellata|DEL|spm00001376;Acrocystis;30;22.38064686;1;5.25;1.125;1.65;0.325;2.7;0.25;7;1.5;8.8;2.1;527;79.90512334;116.1745731;29.31499051;9721.018975;275.5009488;-120.256167;395.7571157;148.3814042;-10.28842505;200.0265655;-50.89563567;962.7343454;111.7172676;50.23529412;26.80265655;311.1290323;169.4212524;277.3965844;192.9032258;1940.686799;180.3458922;23.28842505;2892250.49;1157.045151;4792.331592;3019.100591;5165.498741;9449.190417;1133.185605;4057.591749;79454.47302;1079.834359;673.0243793;259.5579397;8360.557464;6497.544643;2398.699836;15143.81381
Carex zikae;Carex_zikae|WAS|spm00001573;Acrocystis;28;22.38064686;1;10.5;4.25;1.65;0.175;4.15;0.325;NA;NA;10.05;2.175;62;92.61290323;98.09677419;41.88709677;5133.016129;227.5967742;-16.48387097;244.0806452;58.19354839;129.5483871;158.5806452;28.5483871;1103.854839;181.1612903;26.33870968;59.08064516;504;94.33870968;111.8064516;464.1935484;1195.8477;413.6953993;118.659175;5160439.787;954.8019566;3924.024326;5450.239291;3087.502909;4255.628768;603.6573242;3511.956637;263716.2573;7411.612903;393.8670016;544.2065045;60907.47541;4314.030936;5838.322581;54259.33897
Carex aggregata;Carex_aggregata|KTY|spm00000685;Annectens Clade;52;5.595161715;4;65;17.5;4.25;0.375;4;0.3;35;7.5;35;7.5;139;114.705036;122.294964;31.04316547;9386.309353;307.1294964;-81.64028777;388.7697842;196.5971223;-0.079136691;231.3453237;-11.83453237;990.7194245;116.9640288;45.46043165;29.25899281;324.6906475;157.4388489;305.1942446;160.7553957;305.571786;108.6007716;8.244500052;697996.3456;260.6787613;732.5653217;818.8741529;1133.474195;2851.754562;208.9813367;678.414451;21077.13085;205.658117;456.6705245;224.7585236;1012.389115;4851.306016;764.8388072;5649.548431
Carex alopecoidea;Carex_alopecoidea|ILL|spm00001728;Annectens Clade;50;22.38064686;1;60;10;5;1;3.6;0.2;30;5;30;5;180;58.09444444;113.9166667;25.93888889;11048.73889;270.2444444;-162.9833333;433.2277778;178.3388889;-77.19444444;193;-92.30555556;772.7722222;95.49444444;35.28888889;34.55555556;268.3444444;119.6055556;263.5944444;126.5111111;556.3318125;107.3840782;4.348199876;1653603.512;205.023712;2554.999721;2235.72995;1930.694569;3204.570919;225.2402235;1662.772036;33131.37241;144.6871198;418.4747362;357.5779019;1264.886282;4165.39103;1194.599969;5369.871384
Carex annectens;Carex_annectens|ALA|spm00000730;Annectens Clade;51;11.19032343;2;52.5;11.25;2.5;0.25;2.6;0.2;NA;NA;NA;NA;374;116.3529412;117.9411765;31.45187166;8930.008021;300.9385027;-69.95721925;370.8957219;172.3342246;35.9144385;227.8475936;-3.114973262;1082.839572;121.4385027;58.57754011;22.43582888;335.9385027;197.1791444;307.5240642;214.4278075;939.0654471;169.9697209;15.07944689;985195.9007;630.6905779;1682.051784;1152.281322;4241.300863;8193.193732;587.7112945;1693.60873;38921.89913;654.1342776;502.678958;174.2465413;4368.792455;4873.477205;4035.413628;8224.057777
Carex cephaloidea;Carex_cephaloidea|MAI|spm00000804;Annectens Clade;51;11.19032343;2;75;22.5;6.5;0.75;3.75;0.375;27.5;6.25;27.5;6.25;54;74.7962963;108.462963;27.85185185;9666.166667;270.2592593;-112.9259259;383.1851852;164.2407407;-41.22222222;194.7037037;-54.31481481;897.1851852;96.31481481;48.44444444;19.35185185;268.9814815;166.7592593;259.3888889;177.6851852;294.2784766;86.6684137;5.298392732;327116.934;199.8183089;717.9566737;486.9084556;2998.110762;1493.308176;204.2501747;531.6160028;15696.41789;187.8801537;194.0251572;56.27009085;1191.452481;1481.657932;894.2421384;2753.502795
Carex cephalophora;Carex_cephalophora|MRY|spm00000828;Annectens Clade;49;11.19032343;2;40;10;3.75;0.625;2.85;0.175;13;3.5;13;3.5;466;106.1158798;116.8412017;30.77896996;9182.244635;293.8240343;-83.17167382;376.9957082;167.7553648;16.7360515;220.1759657;-17.25751073;1031.358369;112.1738197;57.25536481;21.06223176;314.1888412;192.4055794;291.8712446;207.4978541;1052.347833;146.1682773;19.70372883;1331762.895;538.7904749;2141.252185;1268.799982;3868.80024;8440.766741;540.343163;2149.688384;34012.83689;354.6557432;473.6787346;153.0477318;2170.420176;4513.781388;1554.022096;7237.351608
Carex conferta;Carex_conferta|ETH|spm00000184;Annectens Clade;52;11.19032343;2;60;15;6;1;3.5;0.25;32.5;3.75;32.5;3.75;24;138.2916667;132.1666667;77.33333333;969.0833333;226.4166667;54.58333333;171.8333333;139.6666667;131.875;150.5833333;125.8333333;1165.583333;225.0416667;22.25;71.04166667;542.3333333;90.08333333;302.9583333;189.4583333;1462.998188;255.2753623;54.57971014;518141.9058;1685.731884;1704.253623;824.3188406;1385.536232;1719.766304;1390.514493;1686.666667;125998.3406;5269.259058;258.8913043;858.3894928;34036.31884;4151.557971;12938.99819;26306.60688
Carex conjuncta;Carex_conjuncta|DEL|spm00000784;Annectens Clade;47.5;11.19032343;2;60;10;6.5;0.75;4;0.25;50;10;50;10;161;112.0248447;118.3478261;30.41614907;9340.881988;301.7515528;-81.32298137;383.0745342;196.7763975;-0.186335404;227.6956522;-14.26086957;966.3850932;112.6273292;44.38509317;27.90062112;315.5714286;154.3540373;296.5403727;158.2360248;348.7493789;179.1657609;5.369487578;1025643.942;702.8878882;739.2075311;1652.04441;908.0746894;3325.977562;484.8505435;579.5190217;17723.42578;264.4602484;294.3507764;151.9650621;1453.133929;3191.680124;1008.974922;3822.518944
Carex crus-corvi;Carex_cruscorvi|FLA|spm00000822;Annectens Clade;52;22.38064686;1;65;12.5;8.5;1.75;6.8;0.6;NA;NA;NA;NA;208;151.0673077;120.8173077;34.04326923;8288.711538;324.3557692;-30.33653846;354.6923077;203.4375;93.99519231;253.4567308;39.23076923;1086.836538;128.6538462;55.22596154;25.41826923;346.2596154;192.9423077;294.7403846;219.5288462;1565.792549;108.9036603;20.98845689;1955015.511;475.3220922;3257.818562;1941.846897;2499.628925;10580.83573;607.7179255;3315.685619;43817.56735;514.1887774;356.3303372;81.13338443;3320.676236;4006.257525;5034.685897;8794.694816
Carex cusickii;Carex_cusickii|BRC|spm00002004;Annectens Clade;63;22.38064686;1;66.5;31.75;3.75;0.625;2.7;0.15;55;12.5;NA;NA;56;71.98214286;115.1964286;39.75;6035.75;239.0892857;-49.07142857;288.1607143;10.26785714;143;150.9107143;-1.946428571;1193.25;187.2678571;26.53571429;52.35714286;535.3035714;107.7678571;114.9464286;495.7142857;697.2542208;663.9061688;26.91818182;1937244.482;582.6646104;2620.212987;4042.282792;2102.926948;1394.872727;246.5191558;1793.287987;347195.8273;9529.326948;170.5805195;290.9246753;81690.10617;2478.872403;2634.851623;71704.60779
Carex decomposita;Carex_decomposita|DEL|spm00000836;Annectens Clade;64;7.46021562;3;62.5;28.75;4;0.75;2.2;0.2;110;20;NA;NA;71;151.9859155;126.0140845;36.09859155;7922.070423;322.0422535;-23.98591549;346.028169;175.5915493;129.5774648;250.4929577;45.77464789;1239.239437;131.3943662;71.61971831;17.18309859;367.3380282;245.3521127;307.5633803;303.7042254;985.9569416;95.49979879;14.03299799;1015158.181;270.6124748;1962.52837;1159.056338;2870.102213;11451.67606;394.310664;1993.005634;34549.27042;611.8708249;116.2961771;13.80885312;3679.712676;1361.85996;3618.163783;6858.26841
Carex densa;Carex_densa|ORE|spm00001669;Annectens Clade;54;22.38064686;1;50;10;4;0.5;3.4;0.3;NA;NA;NA;NA;87;121.7701149;132.0574713;48.28735632;5036.137931;281.183908;6.942528736;274.2413793;65.01149425;184.8965517;187.8390805;61.05747126;950.3563218;175.9770115;6.885057471;75.88505747;479.2873563;37.73563218;43.66666667;460.5632184;433.5511895;542.7292168;37.09088479;1850540.283;1190.756482;936.8454959;2986.255012;774.9417268;568.0705694;529.0435712;858.450147;99865.88319;3200.604117;61.42849505;213.2191927;25135.27693;1107.08046;1056.992248;22302.20235
Carex diandra;Carex_diandra|CAL|spm00000840;Annectens Clade;58;2.48673854;9;46;22;1.75;0.375;2.4;0.05;35;7.5;NA;NA;1691;39.33293909;89.32879953;26.94263749;8662.413956;213.2927262;-124.6321703;337.9248965;114.4411591;-24.56948551;149.2513306;-72.89414548;744.8870491;91.5505618;37.98107629;30.23654642;253.3583678;126.1756357;221.6505027;161.1573034;1819.424589;484.3912352;33.28842357;8521039.225;1085.304201;8206.61255;10097.71447;3162.503488;7146.214548;698.5563222;5963.959794;102057.918;1192.799069;450.4020085;187.2446044;9381.495165;4925.109371;3495.989614;11751.31015
Carex gravida;Carex_gravida|TEN|spm00000970;Annectens Clade;48;11.19032343;2;65;17.5;6;1;4.5;0.5;30;10;30;10;351;101.8831909;131.2250712;30.73789174;10149.73504;310.8490028;-111.7549858;422.6039886;205.3247863;-30.13960114;228.4017094;-34.37606838;763.8717949;106.9287749;24.20797721;46.41880342;292.8461538;85.52421652;275.5783476;87.08831909;994.2920309;257.7063411;17.85681726;1421697.11;521.3799919;2325.431225;1216.428441;675.665641;3346.84617;488.1267399;2255.081026;53329.64923;461.3234839;298.759479;192.4383883;3371.330549;3428.130126;3326.524558;4087.732177
Carex laevivaginata;Carex_laevivaginata|ALA|spm00000993;Annectens Clade;49.33333333;3.73010781;6;55;12.5;5.5;0.25;5.55;0.325;NA;NA;NA;NA;216;109.6759259;115.2962963;32.01851852;8618.685185;289.6851852;-67.00925926;356.6944444;162.5509259;37.93518519;217.5740741;-4.865740741;1086.421296;113.7314815;66.58796296;15.64351852;319.1296296;221.7361111;295.9259259;240.9444444;1293.150301;197.4280792;25.73919035;964897.3888;961.4911283;1602.762705;735.4968992;5085.495069;7827.651593;893.408441;1991.772588;26077.86354;501.3322136;262.5968777;72.09093454;3635.443583;2292.61376;1751.715418;4456.648062
Carex leavenworthii;Carex_leavenworthii|KTY|spm00005410;Annectens Clade;48;11.19032343;2;45;17.5;2.05;0.475;3;0.25;13.5;3.25;13.5;3.25;255;141.372549;124.0784314;33.96078431;8521.298039;319.9803922;-43.84705882;363.827451;189.8745098;81.57647059;247.1215686;26.74117647;1120.047059;130.7529412;56.81960784;25.27843137;355.3254902;195.5098039;312.6862745;226.7921569;881.7858577;110.7418558;19.87247182;1542011.454;247.1295353;2141.626123;1578.647275;2871.488127;10378.29236;283.2095723;2104.515424;42752.95841;480.8324224;480.6208739;153.06784;2875.086552;5265.282384;3241.287016;11580.37002
Carex mesochorea;Carex_mesochorea|ALA|spm00001097;Annectens Clade;48;22.38064686;1;57.5;21.25;3.25;0.375;3.55;0.275;15;2.5;15;2.5;113;110.8761062;120.9380531;31.13274336;9220.99115;300.699115;-83.08849558;383.7876106;176.380531;17.81415929;225.4513274;-13.08849558;1048.19469;121.1415929;54.14159292;25.05309735;331.0707965;182.5486726;303.079646;194.3362832;1178.859513;110.0943426;10.88400759;735772.9731;946.5515171;1970.063527;818.1866308;3141.094975;5946.259798;890.374842;1837.724241;20872.47961;227.8190582;515.5333439;227.2471555;1028.530657;5238.642699;1748.6811;6485.85019
Carex muehlenbergii var. muehlenbergii;Carex_muehlenbergii_var_muehlenbergii|WIS|spm00002520;Annectens Clade;46;11.19032343;2;55;17.5;3;0.5;3.45;0.375;27.5;6.25;27.5;6.25;138;115.0797101;117.8478261;31.58695652;9002.804348;299.0217391;-73.93478261;372.9565217;177.2246377;34.49275362;226.6086957;-6.144927536;1052.985507;117.2101449;56.99275362;22.94202899;327.3623188;193.9855072;304.5797101;214.5797101;1686.760023;148.597112;29.60187242;2238038.275;641.8316407;3600.84973;2006.523643;4387.051359;10813.0109;696.6632815;3663.613879;43026.30636;465.1306992;537.5838887;185.514863;3042.510103;5414.131175;3003.953454;9119.29652
Carex nervina;Carex_nervina|CAL|spm00001840;Annectens Clade;52;22.38064686;1;60;15;5;1.25;4;0.25;NA;NA;NA;NA;19;48.57894737;138.6315789;43.63157895;6150.578947;233.0526316;-81.63157895;314.6842105;-15.57894737;130.2105263;131.3684211;-21.05263158;903.9473684;150.1052632;13.36842105;64.47368421;415.8421053;58.57894737;62.63157895;405.1578947;75.77105126;15.827353;1.669884964;233330.2769;55.75397532;230.8089678;250.1414214;165.8887113;358.910703;40.91120937;188.7780185;7423.310683;127.66047;27.78351886;10.36361606;964.0485043;291.9532337;471.6951098;832.2721643
Carex pansa;Carex_pansa|CAL|spm00001964;Annectens Clade;58;22.38064686;1;24;8;2.75;0.525;3.65;0.275;NA;NA;NA;NA;48;103.1041667;85.77083333;48.20833333;3351.625;200.0833333;22.0625;178.0208333;71.95833333;138.7708333;147.3333333;62.72916667;1791.416667;283.9166667;30.25;62.375;814.1875;127.3125;145.3958333;756.3333333;305.3718972;190.6910461;50.55141844;895923.6436;178.248227;808.3577128;1127.680408;335.1471631;1069.754876;64.90780142;818.329344;473891.7376;10035.99291;388.7021277;158.1968085;87078.9641;4269.62367;5865.393174;80315.5461
Carex praegracilis;Carex_praegracilis|CAL|spm00001157;Annectens Clade;60;22.38064686;1;52.5;13.75;2;0.5;3.15;0.275;NA;NA;NA;NA;669;73.40807175;142.3617339;37.17189836;8679.463378;277.4304933;-115.935725;393.3662182;131.3363229;29.0941704;183.0553064;-39.62630792;513.3707025;80.16741405;16.69506726;49.72197309;215.8744395;59.40508221;158.1748879;109.7907324;2233.15209;651.6953;110.037772;6853409.477;1616.565895;6337.599156;5094.040833;6305.328334;13354.30998;1358.746937;5954.198469;57991.41327;1599.519835;205.9248409;500.0094117;11853.52613;2137.450932;8026.72835;9926.824405
Carex prairea;Carex_prairea|BRC|spm00001951;Annectens Clade;66;22.38064686;1;51.5;24.25;2.5;0.25;2.65;0.175;55;12.5;NA;NA;142;68.00704225;113.0985915;28.22535211;9822.640845;266.5704225;-128.084507;394.6549296;155.3028169;-36.35211268;189.4929577;-63.62676056;849.0774648;97.41549296;41.92253521;26.29577465;273.1267606;146.5140845;258.1760563;158.2957746;826.0212267;159.4653881;8.728998102;1310793.225;550.9134452;2386.631106;1588.894266;4191.574318;3860.584357;608.5070423;1666.632754;37216.00105;192.8261412;354.7670063;183.344521;1679.373889;3415.939517;1925.124813;4308.209769
Carex simulata;Carex_simulata|CAL|spm00001284;Annectens Clade;64;22.38064686;1;50;15;2.35;0.675;2.3;0.25;20;5;NA;NA;151;47.54304636;150.397351;40.17880795;7661.933775;250.7350993;-122.7549669;373.4900662;66.66887417;53.94039735;146.8013245;-48.40397351;541.4039735;82.37086093;18.49668874;42.68211921;222.2913907;66.75496689;121.0662252;165.9072848;1087.076468;311.0543929;27.50781457;2175940.422;1237.996026;3066.559558;2161.584901;5868.116291;9649.109757;926.0802649;2207.975717;54330.76238;2144.928212;94.82498896;327.3249448;16388.63453;884.7595585;3996.595585;20035.96468
