species;original.name;section;mean;weighted_squaredSEM;Ncyt;Culm.length.mp;Culm.length.1.4;Leaf.width.mp;Leaf.width.1.4;Utricle.length.mp;Utricle.length.1.4;LI.length.mp;LI.length.1.4;TI.length.mp;TI.length.1.4;Samples_bioclim;bio1_Mean;bio2_Mean;bio3_Mean;bio4_Mean;bio5_Mean;bio6_Mean;bio7_Mean;bio8_Mean;bio9_Mean;bio10_Mean;bio11_Mean;bio12_Mean;bio13_Mean;bio14_Mean;bio15_Mean;bio16_Mean;bio17_Mean;bio18_Mean;bio19_Mean;squaredSEM_bioclim1;squaredSEM_bioclim2;squaredSEM_bioclim3;squaredSEM_bioclim4;squaredSEM_bioclim5;squaredSEM_bioclim6;squaredSEM_bioclim7;squaredSEM_bioclim8;squaredSEM_bioclim9;squaredSEM_bioclim10;squaredSEM_bioclim11;squaredSEM_bioclim12;squaredSEM_bioclim13;squaredSEM_bioclim14;squaredSEM_bioclim15;squaredSEM_bioclim16;squaredSEM_bioclim17;squaredSEM_bioclim18;squaredSEM_bioclim19
Carex mendocinensis;Carex_mendocinensis|ORE|spm00001673;Gracillima Clade;58;4.476129372;5;52.5;13.75;4;0.75;3.85;0.575;35;12.5;28;5;44;101.0681818;128.5227273;49.36363636;4797.386364;256.8636364;-5.931818182;262.7954545;51.75;157.75;164.9318182;44.88636364;1324.204545;232.7272727;9.613636364;72.72727273;657.3636364;54.36363636;65.02272727;616.7954545;297.6929175;405.9762156;30.42283298;2088242.94;1182.027484;1091.460359;3430.352537;712.5174419;1312.145349;355.2743129;879.5914376;138122.1665;4342.807611;108.80074;142.2959831;36273.30655;1248.236786;1702.069239;32968.25951
Carex misera;Carex_misera|TEN|spm00001764;Gracillima Clade;79;11.19032343;2;37.5;6.25;1.5;0.25;4.4;0.2;22.5;6.25;17;3.5;20;93.75;120.3;37.5;7054.8;248.3;-67.2;315.5;128.55;33.85;182.05;-0.05;1556.8;153.05;110.5;10.75;424.55;347.05;410.85;355.7;396.7236842;102.8526316;3.210526316;66629.22105;291.2736842;417.1157895;332.1578947;2121.944737;3791.923684;305.1026316;440.5763158;121783.1158;1001.944737;858.7894737;59.03947368;6985.628947;8444.997368;6334.239474;10398.11579
Carex swanii;Carex_swanii|ARK|spm00001304;Gracillima Clade;54;22.38064686;1;45;15;2.25;0.375;2.05;0.175;10;2.5;15.5;2.25;318;104.7955975;111.336478;30.56603774;8814.896226;286.2610063;-73.0408805;359.3018868;160.2012579;41.9245283;215.1100629;-12.47169811;1084.968553;113.0314465;66.82389937;15.6509434;316.7201258;222.7201258;290.2232704;239.7169811;540.2136083;150.1104002;9.552407595;541640.8252;480.2818185;835.6670932;672.3439081;5086.262207;8310.814475;435.8269647;873.5685971;24883.72141;283.2671468;325.5714144;39.96925778;1980.404073;2619.16748;960.7481003;4736.853402
Carex abscondita;Carex_abscondita|MRY|spm00000676;Granulares;48;22.38064686;1;18.5;5.75;6;1.5;3.5;0.35;9;1.5;7.35;1.425;173;146.2312139;119.9017341;35.75722543;7706.757225;310.867052;-21.93063584;332.7976879;172.5028902;123.2716763;242.6763006;44.06358382;1251.936416;136.2196532;76.71676301;16.20809249;372.9017341;256.5895954;332.7687861;310.5606936;1074.55088;179.1821481;26.13839226;768743.0803;481.0345477;1454.739347;523.1972039;6318.135166;7685.931577;498.324842;1851.722678;24605.74593;640.1840301;93.91349644;35.78202715;4130.182148;850.4177981;4286.969485;4029.154725
Carex acidicola;Carex_acidicola|ALA|spm00000658;Granulares;50;22.38064686;1;26;7.5;4.9;0.3;4.55;0.175;13.5;3.75;30.5;9.25;5;170.2;130.8;40;7158.2;327.2;4.4;322.8;97.8;195;259.8;75.4;1334;149.6;74;19.2;403;253;323.6;377.8;287.9299948;60.14394141;6.345562865;886655.0523;211.8651062;877.0740775;950.5374013;630.3771028;1363.860671;155.4625956;717.3564701;28208.5806;485.1097862;105.5773717;39.38174101;3663.384316;1109.422288;1792.441417;3162.634224
Carex amphibola;Carex_amphibola|ALA|spm00000654;Granulares;56;11.19032343;2;47.5;16.25;5.7;0.65;4.6;0.2;15.5;5.25;20.5;6.75;276;120.7753623;119.3152174;32.73913043;8609.474638;300.9456522;-59.82246377;360.7681159;173.5036232;50.6557971;228.2391304;5.615942029;1124.728261;118.5072464;66.94202899;16.60507246;331.2536232;225.6884058;302.192029;246.5869565;924.8366271;136.863913;16.89897233;848630.3084;446.4370356;1495.24473;768.3387615;3207.581805;9057.761094;495.4626087;1675.68469;29706.24953;399.6035837;273.814809;52.92346509;2434.54635;2672.280738;1417.268445;5981.501502
Carex asynchrona;Carex_asynchrona|MXE|spm00000257;Granulares;52;22.38064686;1;54;12.5;2.6;0.7;4.7;1.05;17;3.5;20.5;3.25;9;184.8888889;138.3333333;61.66666667;2813.666667;292.5555556;68.55555556;224;207.1111111;154.5555556;214.6666667;144.8888889;1156.444444;246.5555556;20.88888889;79.66666667;598.1111111;72.22222222;399;79.77777778;159.9611082;33.41330078;3.525312703;492586.1401;117.7028368;487.2633764;528.0763341;350.2095015;757.7003729;86.36810866;398.5313723;15671.43366;269.5054368;58.65409537;21.87874501;2035.213509;616.3457156;995.8007874;1757.019014
Carex austrocaroliniana;Carex_austrocaroliniana|NCA|spm00001729;Granulares;58;7.46021562;3;35;8;4.5;0.75;1.9;0.05;9.5;1.25;13.5;3.25;29;130.1724138;131.5862069;39.06896552;7404.448276;293.0344828;-40.51724138;333.5517241;103.6206897;137.6206897;222.4827586;31.24137931;1466.793103;156.5172414;94.48275862;13.72413793;420.6551724;309.8965517;373.9310345;374.7931034;468.2906404;40.10837438;5.852216749;313666.6847;321.4630542;740.6157635;332.4704433;6341.600985;3709.029557;362.6157635;709.4039409;44582.31281;571.544335;391.9014778;28.20689655;3422.23399;3541.881773;2724.852217;5481.241379
Carex brysonii;Carex_brysonii|ALA|spm00000655;Granulares;50;22.38064686;1;42.5;8.75;4.75;0.525;4.35;0.175;22.5;8.25;32;7;1;153;134;39;7647;319;-23;342;153;209;248;50;1488;167;87;18;436;287;318;418;1439.649974;300.7197071;31.72781433;4433275.261;1059.325531;4385.370388;4752.687007;3151.885514;6819.303356;777.312978;3586.782351;141042.903;2425.548931;527.8868584;196.9087051;18316.92158;5547.11144;8962.207087;15813.17112
Carex bulbostylis;Carex_bulbostylis|MSI|spm00000648;Granulares;54;22.38064686;1;37.5;13.75;2.85;0.325;4;0.2;11.5;3.75;19.5;4.75;27;177.7037037;125;36.88888889;7444.037037;340.7407407;4.777777778;335.962963;196.3703704;149.7777778;269.7407407;77.44444444;1104.555556;132.5555556;57.11111111;25.22222222;345.037037;200.1111111;259.4444444;239.1481481;559.1396011;33.15384615;6.179487179;790968.8832;142.045584;1315.333333;878.037037;2787.934473;8053.641026;165.6609687;1178.564103;37154.94872;179.3333333;276.1794872;53.71794872;2074.575499;2354.179487;2831.102564;8950.669516
Carex calcifugens;Carex_calcifugens|FLA|spm00000668;Granulares;52;22.38064686;1;25.5;5.75;3.3;0.35;4.45;0.275;14;1.5;21.5;6.75;8;175.875;134.75;42;6807.875;329.625;11.5;318.125;238.875;145.5;260.625;85.375;1244;141;68;21.5;398.625;230.875;396.75;305.125;179.9562467;37.58996338;3.965976791;554159.4077;132.4156914;548.1712984;594.0858758;393.9856892;852.4129195;97.16412225;448.3477938;17630.36287;303.1936163;65.98585729;24.61358813;2289.615198;693.3889301;1120.275886;1976.64639
Carex careyana;Carex_careyana|KTY|spm00001401;Granulares;68;22.38064686;1;50;7;11;3.5;5.8;0.4;12.5;2.75;14;3;111;102.1891892;116.3513514;30.65765766;9171.630631;291.036036;-83.61261261;374.6486486;175.1441441;5.189189189;216.036036;-20.84684685;992.0810811;105.3333333;54.55855856;18.59459459;296.5765766;189.4504505;275.5585586;199.3333333;637.4275184;172.0299754;11.93628174;347648.2351;469.6895987;643.821294;299.3572482;1617.597215;5696.100246;420.5805078;947.3308763;24427.78428;303.0424242;195.6306306;31.2977887;1991.682719;1926.886159;783.0306306;3586.49697
Carex conoidea;Carex_conoidea|DEL|spm00001428;Granulares;68;22.38064686;1;38.5;18.25;3.45;0.225;3.2;0.2;17;6;17;4.5;255;74.99607843;110.4823529;28.03529412;9685.909804;268.854902;-120.2862745;389.1411765;135;-6.639215686;195.1921569;-55.01960784;987.3254902;109.9921569;55.1372549;24.37254902;310.8196078;182.6823529;283;200.0980392;723.3110082;225.8412228;10.51449745;2369427.602;704.1796511;2617.275992;3017.491802;6764.692913;10014.46775;552.2345839;1886.200401;53886.48025;278.2440327;756.6070712;279.982708;2371.715362;7011.658546;1053.015748;10321.77382
Carex corrugata;Carex_corrugata|ALA|spm00000670;Granulares;58;22.38064686;1;52.5;18.75;4.3;0.5;4.2;0.15;17.5;6.25;21;7;101;167.1485149;124.8811881;37.23762376;7517.594059;329.0891089;-4.455445545;333.5445545;189.8118812;148.8613861;260.1782178;66.11881188;1232.445545;144.0792079;67.75247525;22.46534653;386.4752475;231.8811881;327.5346535;287.7623762;670.5077228;92.50574257;15.8229703;1137770.424;169.7219802;1566.690495;1164.130495;4701.194257;6272.020594;211.1879208;1538.425743;32554.6295;509.7336634;225.5281188;51.83128713;3734.671881;2169.745743;7065.211287;7682.68297
Carex crawei;Carex_crawei|NFL|spm00001471;Granulares;52.33333333;7.46021562;3;16;7;2.4;0.3;2.8;0.3;16;5.5;17.5;3.25;113;65.40707965;108.4159292;27.31858407;9759.716814;260.5752212;-129.5663717;390.1415929;139.5663717;-38.25663717;186.0530973;-64.59292035;830.079646;97.66371681;39.44247788;27.14159292;269.6371681;139.5752212;249.2300885;154.8672566;812.4399494;286.7986726;12.43331226;1119271.616;971.9250948;1576.694216;1577.283344;5128.533502;3519.478192;747.7828698;1323.136378;28215.35967;198.7251896;270.8381795;175.926201;1674.554678;2771.264381;1805.410872;4782.294722
